event_id,event_name
524,UFC 120: Bisping vs Akiyama
525,UFC 119: Mir vs Cro Cop
526,UFC Fight Night: Marquardt vs Palhares
527,UFC 118: Edgar vs Penn 2
528,UFC 117: Silva vs Sonnen
529,UFC Live: Jones vs Matyushenko
530,UFC 116: Lesnar vs Carwin
531,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale
532,UFC 115: Liddell vs Franklin
533,UFC 114: Rampage vs Evans
534,UFC 113: Machida vs Shogun 2
535,UFC 112: Invincible
536,UFC Fight Night: Florian vs Gomi
537,UFC 111: St-Pierre vs Hardy
538,UFC Live: Vera vs Jones
539,UFC 110: Nogueira vs Velasquez
540,UFC 109: Relentless
541,UFC Fight Night: Maynard vs Diaz
542,UFC 108: Evans vs Silva
543,UFC 107: Penn vs Sanchez
544,The Ultimate Fighter: Heavyweights Finale
545,UFC 106: Ortiz vs Griffin 2
546,UFC 105: Couture vs Vera
547,UFC 104: Machida vs Shogun
548,UFC 103: Franklin vs Belfort
549,UFC Fight Night: Diaz vs Guillard
550,UFC 102: Couture vs Nogueira
551,UFC 101: Declaration
552,UFC 100
553,The Ultimate Fighter: United States vs. United Kingdom Finale
554,UFC 99: The Comeback
555,UFC 98: Evans vs Machida
556,UFC 97: Redemption
557,UFC Fight Night: Condit vs Kampmann
558,UFC 96: Jackson vs Jardine
559,UFC 95: Sanchez vs Stevenson
560,UFC Fight Night: Lauzon vs Stephens
561,UFC 94: St-Pierre vs Penn 2
562,UFC 93: Franklin vs Henderson
563,UFC 92: The Ultimate 2008
564,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
565,UFC Fight Night - Fight for the Troops
566,UFC 91: Couture vs Lesnar
567,UFC 90: Silva vs Cote
568,UFC 89: Bisping vs Leben
569,UFC Fight Night: Diaz vs Neer
570,UFC 88: Breakthrough
571,UFC 87: Seek And Destroy
572,UFC: Silva vs Irvin
573,UFC 86: Jackson vs Griffin
574,The Ultimate Fighter: Team Rampage vs Team Forrest Finale
575,UFC 85: Bedlam
576,UFC 84: Ill Will
577,UFC 83: Serra vs St-Pierre 2
578,UFC Fight Night: Florian vs Lauzon
579,UFC 82: Pride of a Champion
580,UFC 81: Breaking Point
581,UFC Fight Night: Swick vs Burkman
582,UFC 80: Rapid Fire
583,UFC 79: Nemesis
584,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
585,UFC 78: Validation
586,UFC 77: Hostile Territory
587,UFC 76: Knockout
588,UFC Fight Night: Thomas vs Florian
589,UFC 75: Champion vs Champion
590,UFC 74: Respect
591,UFC 73: Stacked
592,The Ultimate Fighter: Team Pulver vs. Team Penn Finale
593,UFC 72: Victory
594,UFC Fight Night: Stout vs Fisher
595,UFC 71: Liddell vs Jackson
596,UFC 70: Nations Collide
597,UFC 69: Shootout
598,UFC Fight Night: Stevenson vs Guillard
599,UFC 68: The Uprising
600,UFC 67: All or Nothing
601,UFC Fight Night: Evans vs Salmon
602,UFC 66: Liddell vs Ortiz 2
603,UFC Fight Night: Sanchez vs Riggs
604,UFC 65: Bad Intentions
605,The Ultimate Fighter: The Comeback Finale
606,UFC 64: Unstoppable
607,Ortiz vs Shamrock 3: The Final Chapter
608,UFC 63: Hughes vs Penn
609,UFC 62: Liddell vs Sobral
610,UFC Fight Night 6
611,UFC 61: Bitter Rivals
612,UFC Fight Night 5
613,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale
614,UFC 60: Hughes vs Gracie
615,UFC 59: Reality Check
616,UFC Fight Night 4
617,UFC 58: USA vs Canada
618,UFC 57: Liddell vs Couture 3
619,UFC Fight Night 3
620,UFC 56: Full Force
621,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale
622,UFC 55: Fury
623,UFC Fight Night 2
624,UFC 54: Boiling Point
625,UFC Fight Night 1
626,UFC 53: Heavy Hitters
627,UFC 52: Couture vs Liddell 2
628,The Ultimate Fighter: Team Couture vs. Team Liddell Finale
629,UFC 51: Super Saturday
630,UFC 50: The War Of '04
631,UFC 49: Unfinished Business
632,UFC 48: Payback
